127.0.0.1 - - [07/Jun/2017:15:16:48 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:17:01 +0200] "GET /Twitter/ HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:17:01 +0200] "GET /Twitter/css/timeline.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:17:02 +0200] "GET /Twitter/header HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:12 +0200] "GET /Twitter/ HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:12 +0200] "GET /Twitter/ HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:13 +0200] "GET /Twitter/header HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:13 +0200] "GET /Twitter/imgs/ano_white.png HTTP/1.1" 200 11852
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:13 +0200] "GET /Twitter/ HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:13 +0200] "GET /Twitter/header HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:14 +0200] "GET /Twitter/imgs/ano_white.png HTTP/1.1" 200 11852
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:17 +0200] "GET /Twitter/ HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:17 +0200] "GET /Twitter/header HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:17 +0200] "GET /Twitter/imgs/ano_white.png HTTP/1.1" 200 11852
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:18 +0200] "GET /Twitter/ HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:18 +0200] "GET /Twitter/header HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:18 +0200] "GET /Twitter/imgs/ano_white.png HTTP/1.1" 200 11852
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:39 +0200] "GET /Twitter/ HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:39 +0200] "GET /Twitter/css/timeline.css HTTP/1.1" 200 4307
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:39 +0200] "GET /Twitter/css/home.css HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:39 +0200] "GET /Twitter/css/app.css HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:39 +0200] "GET /Twitter/css/register.css HTTP/1.1" 200 1489
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:39 +0200] "GET /Twitter/css/succes.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:39 +0200] "GET /Twitter/css/login.css HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:40 +0200] "GET /Twitter/js/register.js HTTP/1.1" 200 3628
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:40 +0200] "GET /Twitter/js/app.js HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:40 +0200] "GET /Twitter/js/login.js HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:40 +0200] "GET /Twitter/imgs/ano.png HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:40 +0200] "GET /Twitter/imgs/moca.png HTTP/1.1" 200 629962
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:40 +0200] "GET /Twitter/header HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:40 +0200] "GET /Twitter/fonts/HACKED.ttf HTTP/1.1" 200 26664
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:42 +0200] "GET /Twitter/ HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:42 +0200] "GET /Twitter/css/app.css HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:42 +0200] "GET /Twitter/css/home.css HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:42 +0200] "GET /Twitter/css/register.css HTTP/1.1" 200 1489
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:42 +0200] "GET /Twitter/css/login.css HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:42 +0200] "GET /Twitter/css/succes.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:42 +0200] "GET /Twitter/css/timeline.css HTTP/1.1" 200 4307
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:42 +0200] "GET /Twitter/js/login.js HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:42 +0200] "GET /Twitter/js/register.js HTTP/1.1" 200 3628
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:42 +0200] "GET /Twitter/js/app.js HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:42 +0200] "GET /Twitter/imgs/ano.png HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:42 +0200] "GET /Twitter/imgs/moca.png HTTP/1.1" 200 629962
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:42 +0200] "GET /Twitter/header HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:18:43 +0200] "GET /Twitter/fonts/HACKED.ttf HTTP/1.1" 200 26664
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:19:17 +0200] "GET /Twitter/ HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:19:17 +0200] "GET /Twitter/css/app.css HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:19:17 +0200] "GET /Twitter/css/home.css HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:19:17 +0200] "GET /Twitter/css/register.css HTTP/1.1" 200 1489
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:19:17 +0200] "GET /Twitter/css/succes.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:19:17 +0200] "GET /Twitter/css/login.css HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:19:17 +0200] "GET /Twitter/css/timeline.css HTTP/1.1" 200 4307
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:19:17 +0200] "GET /Twitter/js/register.js HTTP/1.1" 200 3628
0:0:0:0:0:0:0:1 - - [07/Jun/2017:15:19:17 +0200] "GET /Twitter/js/login.js HTTP/1.1" 200 769
