127.0.0.1 - - [12/Jun/2017:10:42:53 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/ HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/css/app.css HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/css/register.css HTTP/1.1" 200 1489
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/css/succes.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/css/login.css HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/css/home.css HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/css/timeline.css HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/css/profile.css HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/js/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/js/login.js HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/js/time.js HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/js/app.js HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/imgs/ano.png HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:54 +0200] "GET /Twitter/imgs/moca.png HTTP/1.1" 200 629962
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:55 +0200] "GET /Twitter/header HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:55 +0200] "GET /Twitter/fonts/HACKED.ttf HTTP/1.1" 200 26664
0:0:0:0:0:0:0:1 - - [12/Jun/2017:10:42:59 +0200] "GET /Twitter/login HTTP/1.1" 200 581
